Domain,RefSubNets,PrevRefSubNets,provider
hostpoint.ch,956,962,hostpoint
hosttech.ch,2057,2081,hosttech
hostwinds.com,1967,1968,hostwinds
huaweicloud.com,6657,6671,huawei-cloud
huggingface.co,22877,22983,hugging-face
he.net,5095,5095,hurricane-electric
hyperhost.ua,561,559,hyperhost
hypernode.com,613,612,hypernode
idcloudhost.com,836,835,idcloudhost
ikoula.com,1036,1024,ikoula
iliad.fr,853,855,iliad
infinityfree.com,1106,1113,infinityfree
infomaniak.com,7262,7218,infomaniak
infranetworking.com,316,303,infranetworking
inmotionhosting.com,5368,5423,inmotion
iv.lt,1383,1388,interneto-vizija
interserver.net,2187,2213,interserver
ionos-group.com,883,881,ionos-group
ionos.de,21499,21583,ionos
isimtescil.net,440,451,isimtescil
ispconfig.org,16089,16065,ispconfig
iwantmyname.com,806,819,iwantmyname
jimdo.com,29044,29165,jimdo
jweiland.net,440,434,jweiland
kagoya.jp,792,798,kagoya
kamatera.com,800,796,kamatera
keliweb.it,417,413,keliweb
king.host,1267,1263,kinghost
kinsta.com,6511,6558,kinsta
kkr.com,2246,2266,kkr
knownhost.com,1033,1046,knownhost
koyeb.com,693,693,koyeb
krystal.io,634,639,krystal
laravel.com,24193,24267,laravel-cloud
laravel.com,24193,24267,laravel-forge
latitude.sh,444,443,latitude-sh
leaseweb.com,2321,2328,leaseweb
lh.pl,870,865,lh-pl
lima-city.de,2925,2957,lima-city
linode.com,7440,7431,linode
liquidweb.com,2900,2881,liquid-web
locaweb.com.br,1482,1468,locaweb
lolipop.jp,4191,4221,lolipop
loopia.se,6416,6415,loopia
louhi.fi,758,772,louhi
lovable.dev,11815,11845,lovable
manitu.de,637,632,manitu
master.cz,336,328,master-internet
maxcluster.de,348,337,maxcluster
memset.com,357,346,memset
metanet.ch,779,785,metanet
micro.blog,4031,4052,micro-blog
milesweb.in,790,786,milesweb
mirohost.net,1746,1744,mirohost
mittwald.de,1310,1303,mittwald
modal.com,1463,1474,modal
mydevil.net,606,611,mydevil
mythic-beasts.com,911,908,mythic-beasts
namecheap.com,65359,66361,namecheap
namehero.com,823,825,namehero
names.co.uk,966,962,names-co-uk
natro.com,2185,2200,natro
ncloud.com,609,600,naver-cloud
nazwa.pl,3947,3954,nazwa-pl
nearlyfreespeech.net,867,855,nearlyfreespeech
neocities.org,10805,10808,neocities
neon.com,1925,1904,neon
neostrada.nl,493,483,neostrada
neothek.com,324,319,neothek
netcup.com,3130,3100,netcup
netlify.com,7482,7496,netlify
netsons.com,1806,1788,netsons
neubox.com,807,813,neubox
newfold.com,1990,1996,newfold-digital
nexcess.net,1492,1502,nexcess
nhncloud.com,507,512,nhn-cloud
nhost.io,434,427,nhost
niagahoster.co.id,892,890,niagahoster
nindohost.ma,265,263,nindohost-ma
nine.ch,502,494,nine-ch
njal.la,895,931,njalla
nominalia.com,2253,2262,nominalia
northflank.com,801,794,northflank
nucleus.be,264,267,nucleus
o2switch.fr,1416,1430,o2switch
oderland.se,544,536,oderland
one.com,14195,14171,one-com
opalstack.com,831,821,opalstack
open-telekom-cloud.com,454,438,open-telekom-cloud
openfaas.com,624,633,openfaas
openprovider.com,776,788,openprovider
orangewebsite.com,505,504,orangewebsite
oryon.net,304,303,oryon
ovhcloud.com,31465,31681,ovh
pantheon.io,1775,1795,pantheon
panthur.com.au,240,236,panthur
papaki.com,570,575,papaki
permira.com,700,711,permira
pico.sh,300,306,pico-sh
pikapods.com,562,552,pikapods
planeetta.fi,350,362,planeetta
planethoster.com,1329,1331,planethoster
planetscale.com,1568,1576,planetscale
plasmic.app,541,547,plasmic
platform.sh,1026,1034,platform-sh
plesk.com,57852,57982,plesk
ploi.io,796,792,ploi
plusserver.com,732,729,plusserver
pointer.gr,292,291,pointer
porkbun.com,2122,2147,porkbun
porter.run,315,316,porter
pressable.com,741,740,pressable
proisp.no,341,350,pro-isp
proton.me,10083,10153,proton-mail
ptisp.pt,423,422,ptisp
pythonanywhere.com,3359,3385,pythonanywhere
qovery.com,585,578,qovery
racknerd.com,1368,1360,racknerd
raidboxes.io,1115,1127,raidboxes
railway.com,2076,2083,railway
raiolanetworks.com,822,834,raiola-networks
reg.ru,5966,5958,reg-ru
register.it,5561,5608,register-it
register365.com,379,374,register365
render.com,2502,2481,render
replicate.com,3264,3259,replicate
replit.com,8094,8126,replit
resellerclub.com,1197,1200,resellerclub
retool.com,2522,2525,retool
rocket.net,584,584,rocket-net
rumahweb.com,1855,1866,rumahweb
runcloud.io,1221,1227,runcloud
sakura.ad.jp,2489,2501,sakura-internet
salesforce.com,30537,30883,salesforce
sanity.io,5224,5256,sanity
savvii.com,304,300,savvii
scalahosting.com,1008,1012,scala-hosting
scaleway.com,3874,3878,scaleway-functions
scaleway.com,3874,3878,scaleway
scalingo.com,509,506,scalingo
sdf.org,2918,2909,sdf
seeweb.it,612,613,seeweb
selectel.ru,1455,1447,selectel
seohost.pl,2577,2581,seohost
seravo.com,643,644,seravo
sered.net,427,432,sered
servebolt.com,410,420,servebolt
serverpilot.io,667,670,server-pilot
serveravatar.com,1186,1181,serveravatar
serverius.net,284,285,serverius
serverplan.com,493,498,serverplan
sevalla.com,424,417,sevalla
shellrent.com,367,361,shellrent
shinjiru.com,499,502,shinjiru
shockhosting.com,454,454,shockhosting
shopify.com,67064,67405,shopify
silverlake.com,749,766,silver-lake
simply.com,1964,1969,simply-com
siteground.com,6753,6775,siteground
sitehost.nz,273,270,sitehost
sliplane.io,367,355,sliplane
softr.io,1504,1518,softr
sourcehut.org,1142,1124,sourcehut
spheron.network,779,773,spheron
spinupwp.com,478,467,spinupwp
spline.design,2351,2364,spline
squarespace.com,41232,41525,squarespace
stackit.com,500,497,stackit
strapi.io,2268,2263,strapi
strato.de,21079,21103,strato
supabase.com,5243,5239,supabase
supporthost.com,458,448,supporthost
surge.sh,2593,2607,surge
team.blue,775,789,team-blue
tecnoweb.net,319,313,tecnoweb
teleporthq.io,771,766,teleporthq
tencentcloud.com,1456,1457,tencent-cloud
timeweb.com,3834,3817,timeweb
timmehosting.de,515,521,timme-hosting
tino.org,257,250,tinohost
top.host,295,292,top-host
transip.nl,9239,9280,transip
transloadit.com,621,623,transloadit
truehost.com.ng,285,278,truehost-ng
truehost.co.ke,299,302,truehost
tsohost.com,485,482,tsohost
tucha.ua,237,230,tucha
turhost.com,968,970,turhost
typedream.com,500,505,typedream
uberspace.de,1706,1706,uberspace
umbler.com,684,660,umbler
united-internet.de,636,627,united-internet
upcloud.com,1205,1217,upcloud
upsun.com,1109,1142,upsun
val.town,732,724,val-town
value-domain.com,2739,2741,value-domain
variomedia.de,526,533,variomedia
veebimajutus.ee,509,498,veebimajutus
ventraip.com.au,548,554,ventraip
vercel.com,10332,10362,vercel
versio.nl,744,738,versio
vietnix.vn,527,528,vietnix
viettelidc.com.vn,547,547,viettel-idc
vimexx.nl,889,900,vimexx
virtualmin.com,14893,14943,virtualmin
vodien.com,1231,1236,vodien
voog.com,1221,1214,voog
voyager.nz,477,481,voyager
vultr.com,5040,5060,vultr
wasmer.io,899,890,wasmer
web.com.ph,331,317,web.com.ph
webdock.io,536,533,webdock
webempresa.com,1117,1120,webempresa
webflow.com,11813,11913,webflow
webnode.com,9603,9568,webnode
webpros.com,657,666,webpros
webstudio.is,566,553,webstudio
websupport.sk,5137,5099,websupport
wedos.com,896,905,wedos
weebly.com,57092,57412,weebly
whogohost.com,378,374,whogohost
wiroos.com,438,433,wire-os
wix.com,37197,37424,wix
wnpower.com,349,350,wnpower
wordpress.com,132402,132940,wordpress-com
world4you.com,861,874,world4you
wpdeveloper.com,620,616,wpdeveloper
wpengine.com,17380,17497,wpengine
wpserveur.net,431,437,wpserveur
write.as,3697,3715,write-as
xcloud.host,1195,1188,xcloud
xneelo.co.za,353,349,xneelo
xserver.ne.jp,4269,4272,xserver
your.online,688,687,your-online
yourhosting.nl,3540,3577,yourhosting
zeabur.com,671,660,zeabur
zenbox.pl,502,519,zenbox
zone.ee,2533,2513,zone-media
zoner.fi,484,498,zoner
